Name,Category,Cost,Notes,Price,Profit,Qty,Receipt,Sell,Status
8.8大溪地路路通（青草綠）,,CN¥499.00,,$199.00,$0.00,,安納塔,,In stock
9.9大溪地路路通（綠）,,CN¥599.00,,$199.00,$0.00,,安納塔,,In stock
10.1 星河大溪地戒指(很綠),,CN¥399.00,,,$0.00,,安納塔,,In stock
11.3 澳白方糖款耳飾,,"CN¥1,080.00",,$499.00,$0.00,,安納塔,,In stock
11.8澳白戒指（玉＋炫綠光）,,"CN¥1,280.00",,$399.00,$0.00,,安納塔,,In stock
10.8一體鏈澳白（三個鑽不同形狀）,,CN¥699.00,,$249.00,$0.00,,安納塔,,In stock
12.7 正圓澳白奶嘴扣,,"CN¥1,999.00",,,$138.43,,安納塔,$424.00,In stock
10.2 路路通澳白18k,,CN¥699.00,加購18k鏈子,,$174.14,,安納塔,$274.00,In stock
12.5正圓金珠素丁（有瑕）,,CN¥899.00,,$349.00,$0.00,,安納塔,,In stock
18k 9.5正圓澳白素丁,,"CN¥1,888.00",,,$329.29,,安納塔,$599.00,In stock
8.7福豆大溪地項鍊,,CN¥359.00,自留,$399.00,$0.00,,安納塔,,In stock
14 極光炫彩金珠任意扣,,"CN¥1,680.00",,$499.00,$0.00,,安納塔,,In stock
11.8 正圓海藍寶澳白一對,,"CN¥1,999.00",,$449.00,$0.00,,安納塔,,In stock
10.9 正圓澳白磨砂戒指,,CN¥899.00,,$299.00,$0.00,,安納塔,,In stock
10.6 正圓極光金珠高跟鞋,,CN¥880.00,,$499.00,$0.00,,安納塔,,In stock
8.9寶石光澳白小香風,,"CN¥1,280.00",,$399.00,$0.00,,安納塔,,In stock
10 正圓極光澳白麻花,,CN¥799.00,,,$134.86,,安納塔,$249.00,In stock
9.4 大溪地素丁,,CN¥799.00,藍色的,$249.00,$0.00,,安納塔,,In stock
4.5 - 5 baby毛衣鏈,,CN¥536.00,,,$125.43,,安納塔,$202.00,In stock
18k akoya小到大耳釘,,"CN¥1,180.00",,$399.00,$0.00,,小姿 - fannie,,In stock
akoya真多麻戴妃 + 耳釘,,CN¥499.00,,,$102.71,,安納塔,$174.00,In stock
11.4 小葉子澳白炫彩,,CN¥799.00,,$299.00,$0.00,,安納塔,,In stock
7.7 濃金素丁18k,,CN¥780.00,,,$187.57,,安納塔,$299.00,In stock
10.7乾枯玫瑰對珠,,CN¥880.00,拆下來了,,$0.00,,安納塔,,In stock
14-15馬貝耳釘,,"CN¥1,880.00",,$499.00,$0.00,,安納塔,,In stock
14 煙美島粉泡泡戒指,,CN¥950.00,,$299.00,$0.00,,安納塔,,In stock
10.8 澳白正圓18k素丁,,"CN¥2,999.00",,,$170.57,,安納塔,$599.00,In stock
9.8扁圓澳白小吊墜,,CN¥280.00,活動送,,$0.00,,安納塔,,In stock
9.1鉑金灰素丁(天空藍，近圓),,CN¥420.00,活動送,,$0.00,,安納塔,,In stock
18k 10.3澳白風在吹（正圓）,,"CN¥2,999.00",,$699.00,$0.00,,安納塔,,In stock
9-9.5正圓大溪地素丁（孔雀綠）,,CN¥799.00,sharon,,$84.86,,安納塔,$199.00,In stock
9.6圈圈戒指孔雀綠,,CN¥459.00,自留,$399.00,$0.00,,安納塔,,In stock
13-14 澳白炫綠橢圓裸珠,,"CN¥1,280.00",,,$0.00,,詩錡手作,,In stock
18k 泡泡莫桑鑽戒指,,CN¥419.00,,,$0.00,,珍珠姊妹,,In stock
60cm 金工銀鏈子,,CN¥208.00,,,$0.00,,安納塔,,In stock
11.2極光澳白戒指（正圓炫藍光）,,"CN¥1,800.00",自留,$599.00,$0.00,,安納塔,,In stock
9.3 寶石光澳白耳勾,,"CN¥1,280.00",,,$106.14,,小姿 - fannie,$289.00,In stock
9-10 包鑲金珠耳飾,,CN¥399.00,,$149.00,$0.00,,詩錡手作,,In stock
大溪三珠平衡木戒指8-9mm,,"CN¥1,270.00",,$499.00,$0.00,,小姿 - fannie,,In stock
11.7正圓藍光澳白耳拍,,"CN¥2,280.00",,$699.00,$0.00,,安納塔,,In stock
4mm 吉爾德五星baby鏈,,CN¥398.00,"  1. $99
  2. $99
  3. 送禮（小白）",,$141.14,3,老周思曼,$198.00,In stock
12.5 澳白素丁 + 藍寶石訂製,,"CN¥9,519.00",,,$264.14,,安納塔,"$1,624.00",In stock
10-11寶石光澳白耳勾,,"CN¥3,500.00",,,$99.00,,日本代購,$599.00,In stock
